id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
57818,50% OFF Monthly 32+days! Snowbird!  Walk to beach!,275948,Von Inc,,Hollywood,26.01859,-80.1243,Entire home/apt,250,31,60,2024-03-08,0.41,2,305,1,
69824,2 bd/2ba Oceanfront Condo,351303,Tracy,,Hallandale Beach,25.97641,-80.12052,Entire home/apt,140,30,4,2023-06-03,0.09,2,291,0,
83449,2 miles from the beach 2/1 sleeps 5 #204,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,130,7,33,2024-12-14,0.21,16,127,2,
129099,MIAMI - AMAZING APARTMENT OCEANVIEW,637272,Bianca,,Hollywood,25.99414,-80.11814,Entire home/apt,328,15,28,2024-03-14,0.17,5,365,1,
191160,Tropical Beach Paradise Awaits You,924482,Dan,,Deerfield Beach,26.30707,-80.07793,Entire home/apt,119,2,25,2019-11-08,0.16,1,118,0,
216046,Dual Masters! - Adult Media/Game Rm - 1GB Internet,964836,Gary,,Hollywood,26.0077,-80.19722,Entire home/apt,274,2,114,2024-10-14,0.72,1,268,8,
217990,COSY APT OVER THE BEACH,637272,Bianca,,Hollywood,25.99398,-80.11677,Entire home/apt,250,10,18,2018-03-19,0.11,5,365,0,
241944,Mary Pop Apartments #102 Sleeps 3,454736,"Jon,  Mary Pop Apartments",,Dania Beach,26.03392,-80.14201,Entire home/apt,80,7,14,2024-01-08,0.09,16,87,1,
256386,Country Living for Four,1304156,Nicolas,,Hollywood,26.02584,-80.14191,Entire home/apt,139,2,274,2024-12-23,1.73,4,340,27,
308839,Fabulous & Private 475 sq ft Suite,1585064,Deborah,,Miramar,25.98766,-80.31598,Private room,75,181,49,2023-02-25,0.31,2,348,0,
325734,Hidden Gem for two,1304156,Nicolas,,Hollywood,26.0257,-80.14105,Entire home/apt,85,2,232,2024-12-08,1.61,4,341,18,
349538,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,329,1,38,2024-07-06,0.25,24,70,4,
349546,Beachside - Studio - Central Fort Lauderdale Beach,1770887,Chris,,Fort Lauderdale,26.13684,-80.10506,Entire home/apt,329,1,5,2024-03-09,0.04,24,83,1,
366178,Tropical Guest House - Heart of Ft. Lauderdale!,1848829,Shirley,,Fort Lauderdale,26.12683,-80.13549,Entire home/apt,89,7,49,2024-09-30,0.32,2,348,14,
367815,SPECTACULAR DIRECT OCEANFRONT VIEWS - Amazing,238902,Wanda,,Hollywood,26.00741,-80.11596,Entire home/apt,150,90,8,2019-04-01,0.05,1,358,0,
393982,Charming Comfort... Ft Lauderdale Home,1848829,Shirley,,Fort Lauderdale,26.12676,-80.13657,Entire home/apt,125,7,37,2024-11-25,0.24,2,299,8,
436596,Beautiful Water Front House w/ Pool,2168585,Lou,,Pompano Beach,26.21709,-80.12193,Entire home/apt,385,7,2,2015-01-06,0.02,1,363,0,
438860,1 bedroom - Condo on the Beach,1889394,Juan,,Fort Lauderdale,26.1772,-80.09872,Entire home/apt,175,3,161,2024-09-03,1.07,1,263,12,
484515,MIAMI- AMAZING APARTMENT OVER BEACH,637272,Bianca,,Hollywood,25.99276,-80.11819,Entire home/apt,297,7,25,2021-03-19,0.16,5,357,0,
533847,"Private, Tranquil & Beautiful Suite",1585064,Deborah,,Miramar,25.98653,-80.31554,Private room,,180,50,2024-11-17,0.33,2,220,3,
592583,Fort Lauderdale Beach Resort,1770887,Chris,,Fort Lauderdale,26.1369065,-80.1051716,Entire home/apt,479,1,30,2024-03-09,0.20,24,14,3,
